iter	Passed	Remaining
0	1	120
1	2	111
2	3	111
3	4	100
4	5	97
5	6	94
6	6	92
7	7	90
8	8	88
9	9	89
10	10	88
11	11	86
12	12	85
13	13	83
14	14	82
15	15	81
16	16	80
17	17	79
18	18	79
19	19	77
20	20	76
21	21	75
22	22	74
23	23	73
24	24	72
25	24	71
26	25	69
27	26	68
28	27	67
29	28	67
30	29	66
31	30	64
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	37	58
39	38	57
40	39	56
41	39	55
42	40	54
43	41	53
44	42	52
45	43	51
46	44	50
47	45	49
48	46	48
49	47	47
50	48	46
51	49	45
52	50	44
53	50	43
54	51	42
55	52	41
56	53	40
57	54	39
58	55	38
59	56	37
60	57	36
61	58	35
62	59	34
63	60	33
64	61	32
65	62	32
66	63	31
67	64	30
68	65	29
69	66	28
70	66	27
71	67	26
72	68	25
73	69	24
74	70	23
75	71	22
76	72	21
77	73	20
78	74	19
79	75	18
80	76	18
81	78	17
82	78	16
83	80	15
84	81	14
85	82	13
86	83	12
87	84	11
88	84	10
89	85	9
90	86	8
91	87	7
92	88	6
93	89	5
94	90	4
95	91	3
96	92	2
97	93	1
98	94	0
99	95	0
